P-100	Gasket, O-ring, fuel line, 1/4 in.
P-101	Gasket, O-ring, hydraulic line, 3/8 in.
P-205	Bolt, hex head, 3/8-16 x 1 in., cadmium plated
P-206	Bolt, hex head, 1/4-20 x 3/4 in., cadmium plated
P-317	Filter, oil, spin-on cartridge
P-318	Filter, fuel, inline, 10 micron
P-402	Bracket, mounting, aluminum, left-hand
P-403	Bracket, mounting, aluminum, right-hand
P-511	Clamp, hose, worm-drive, 1-1/4 in.
P-612	Rivet, solid, 1/8 in. dia., aluminum
P-901	Superseded, see part P-100
P-902	Superseded, see part P-101
P-903	Superseded, see part P-205
P-904	Superseded, see part P-206
P-905	Superseded, see part P-317
P-906	Superseded, see part P-318
